Title,Conference
Cardinality change-based early detection of large-scale cyber-attacks.,INFOCOM
A virtual environment and model of the eye for surgical simulation.,SIGGRAPH
Low-voltage Bluetooth/ZigBee complex filter using current mirrors.,ISCAS
"Adaptive query processing: Why, How, When, and What Next?",VLDB
Measurement-Based Editing of Diffuse Albedo with Consistent Interreflections,SIGGRAPH
A spectrum-sharing rewarding framework for co-channel hybrid access femtocell networks.,INFOCOM
A framework for the server-side management of conversations with web services.,WWW
Modeling semantics and structure of discussion threads.,WWW
Integrating Reliable Memory in Databases.,VLDB
Worst-Case TCAM Rule Expansion.,INFOCOM
Semi-blind data-selective algorithms for channel equalization.,ISCAS
Distributed Privacy Preserving Information Sharing.,VLDB
Approximate Query Processing: Taming the TeraBytes.,VLDB
HTML2RSS: automatic generation of RSS feed based on structure analysis of HTML document.,WWW
StatSnowball: a statistical approach to extracting entity relationships.,WWW
Transaction Log Based Application Error Recovery and Point In-Time Query.,VLDB
"TPC-D: The Challenges, Issues and Results.",VLDB
A Low-power wireless multi-channel surface EMG sensor with simplified ADPCM data compression.,ISCAS
Global parameterization and quadrilateral meshing of point cloud.,SIGGRAPH
A low power battery management system for rechargeable wireless implantable electronics.,ISCAS
Toward Learning Based Web Query Processing.,VLDB
Transmission schemes for time-varying wireless channels with partial state observations.,INFOCOM
Simulating Rigid Body Fracture with Surface Meshes,SIGGRAPH
GOTHIC: glare optimizer tool for high-dynamic-range images and content with implementation in video.,SIGGRAPH
Logical Design of Deductive Natural Language Consultable Data Bases.,VLDB
Wireless esophageal catheter dedicated to respiratory diseases diagnostic.,ISCAS
Automatic Data Fusion with HumMer.,VLDB
Irradiance rigs.,SIGGRAPH
Jigsaw image mosaics.,SIGGRAPH
Leveraging interlingual classification to improve web search.,WWW
Social Network Extraction of Conference Participants.,WWW
A multistandard FFT processor for wireless system-on-chip implementations.,ISCAS
Content-aware click modeling.,WWW
Fair Routing in Delay Tolerant Networks.,INFOCOM
Optimal bounds for online page migration with generalized migration costs.,INFOCOM
Zoom: A multi-resolution tasking framework for crowdsourced geo-spatial sensing.,INFOCOM
Efficient Resource Allocation with Flexible Channel Cooperation in OFDMA Cognitive Radio Networks.,INFOCOM
Media Browser: An Example of Metadata-Based Browsing.,WWW
Post-layout redundant wire insertion for fixing min-delay violations.,ISCAS
Optimizing RDF(S) queries on cloud platforms.,WWW
Indexing XML Data Stored in a Relational Database.,VLDB
Validation of a statistical non-linear model of GaAs HEMT MMIC's by hypothesis testing and principal components analysis.,ISCAS
A 145&micro;W 8&times;8 parallel multiplier based on optimized bypassing architecture.,ISCAS
Novel Coils Topology Intended for Biomedical Implants with Multiple Carrier Inductive Link.,ISCAS
Communication-Efficient Online Detection of Network-Wide Anomalies.,INFOCOM
Update Semantics for Incomplete Databases.,VLDB
The cubic interpolated level set method for realistic fluid animation.,SIGGRAPH
Query segmentation revisited.,WWW
Improvement of the Mu-law Proportionate NLMS Algorithm.,ISCAS
An efficient random access inverted index for information retrieval.,WWW
Losses analysis and low standby losses quasi-resonant flyback converter design.,ISCAS
Robot rockstars: a mixed-reality game.,SIGGRAPH
Query Processing in a Relational Database Management System.,VLDB
Efficient Indexing for Diverse Query Results.,VLDB
Selectivity Estimation in Extensible Databases - A Neural Network Approach.,VLDB
A Combined Framework for Grouping and Order Optimization.,VLDB
Bifurcations in frequency controlled load resonant DC-DC converters.,ISCAS
A novel hybrid neuro-wavelet system for robust speech recognition.,ISCAS
Augmented reality disk jockey: AR/DJ.,SIGGRAPH
Psychological maps 2.0: a web engagement enterprise starting in London.,WWW
Design for verification for asynchronously communicating Web services.,WWW
Managing Change in a Computer-Aided Design Database.,VLDB
The structure of broad topics on the web.,WWW
Gradient Local Binary Patterns for human detection.,ISCAS
Distortion calculation of an asynchronous switching xDSL line-driver.,ISCAS
P2P Authority Analysis for Social Communities.,VLDB
Efficient decision feedforward equalizer with parallelizable architecture.,ISCAS
Fast and scalable secret key generation exploiting channel phase randomness in wireless networks.,INFOCOM
Manipulating Interpolated Data is Easier than You Thought.,VLDB
LUT-based MPGAs for fast turnaround time conversion flow.,ISCAS
Improved ultrasound digital beamforming using single-bit sigma-delta modulators with band-pass decimation filters.,ISCAS
Uncertainty Principle of the Second-order LPFT.,ISCAS
A ladder network delay model for coupled interconnects.,ISCAS
Test application time minimization for RAS using basis optimization of column decoder.,ISCAS
Exact cooperative regenerating codes with minimum-repair-bandwidth for distributed storage.,INFOCOM
Web customization using behavior-based remote executing agents.,WWW
Artificial immune system based methods for spam filtering.,ISCAS
An automatic semantic relationships discovery approach.,WWW
Clock and data recovery module in 90nm for 10Gbps serial link with -18dB channel attenuation.,ISCAS
A New Analysis Framework for Discrete Time Queueing Systems with General Stochastic Sources.,INFOCOM
Architectures and Algorithms for Internet-Scale (P2P) Data Management.,VLDB
A New Presumed Commit Optimization for Two Phase Commit.,VLDB
Hash Joins and Hash Teams in Microsoft SQL Server.,VLDB
Community cores in evolving networks.,WWW
An Evaluation of Weak State Mechanism Design for Indirection in Dynamic Networks.,INFOCOM
Approximation Algorithms for Scheduling Real-Time Multicast Flows in Wireless LANs.,INFOCOM
Joint Effects of Radio Channels and Node Mobility on Link Dynamics in Wireless Networks.,INFOCOM
Dynamic partial reconfigurable FFT/IFFT pruning for OFDM based Cognitive radio.,ISCAS
A 10-Bit 200-MS/s digitally-calibrated pipelined ADC using switching opamps.,ISCAS
A preamplifier for the front-end readout system of particles tracking in secondary electron detectors.,ISCAS
Query Segmentation for Web Search.,WWW
Shielding Methodologies in the Presence of Power/Ground Noise.,ISCAS
A novel feature extraction algorithm for classification of bird flight calls.,ISCAS
A 2-path bandpass sigma-delta modulator utilizing blue-noise path selection.,ISCAS
A low power low inaccuracy linearity-compensated temperature sensor for attachable medical devices.,ISCAS
Factors formatting perceptional impression in 3-D cyber spaces: a cross-cultural study of Korean and American users.,SIGGRAPH
"A nose-tracked, personal olfactory display.",SIGGRAPH
Short periodic orbits and topological entropy for the Chua's circuit.,ISCAS
Session-Based Overload Control in QoS-Aware Web Servers.,INFOCOM
A VLSI spike-driven dynamic synapse which learns only when necessary.,ISCAS
An Efficient Filter-based Addressing Protocol for Autoconfiguration of Mobile Ad Hoc Networks.,INFOCOM
ProTDB: Probabilistic Data in XML.,VLDB
Two-stage series-based neural network approach to nonlinear independent component analysis.,ISCAS
A Conceptual Model for Semantic Integrity Checking.,VLDB
Needed: Distributed Control.,VLDB
Visualization of historical landscapes in Osaka.,SIGGRAPH
A Silicon-on-Sapphire Low-Voltage Temperature Sensor for Energy Scavengers.,ISCAS
WYSIWYG NPR: drawing strokes directly on 3D models.,SIGGRAPH
An Efficient Hardware Accelerator for Power Grid Simulation.,ISCAS
A Parallel Strategy for Transitive Closure usind Double Hash-Based Clustering.,VLDB
Mixed-domain receiver architecture for white space software-defined radio scenarios.,ISCAS
Noncooperative Load Balancing in the Continuum Limit of a Dense Network.,INFOCOM
Efficient Evaluation of XQuery over Streaming Data.,VLDB
Low-complexity Interpolation Architecture for Soft-decision Reed-Solomon Decoding.,ISCAS
Secure pseudo-random bit sequence generation using coupled linear congruential generators.,ISCAS
A self-calibrating multi-VCO PLL scheme with leakage and capacitive modulation mitigations.,ISCAS
Technical challenges in exploiting the web as a business resource.,WWW
HOMES: A Higher-Order Mapping Evaluation System.,VLDB
Fine grained content-based adaptation mechanism for providing high end-user quality of experience with adaptive hypermedia systems.,WWW
Ranking refinement and its application to information retrieval.,WWW
Compress Compound Images in H.264/MPEG-4 AVC by Fully Exploiting Spatial Correlation.,ISCAS
Towards Robust Indexing for Ranked Queries.,VLDB
MCDB-R: Risk Analysis in the Database.,VLDB
Clock distribution models of 3-D integrated systems.,ISCAS
Isolating Physical PER for Smart Rate Selection in 802.11.,INFOCOM
Neuromorphic implementation of active gaze and vergence control.,ISCAS
Managing Semantic Heterogeneity with Production Rules and Persistent Queues.,VLDB
A Logic-based Framework for Mobile Intelligent Information Agents.,WWW
"All-digital frequency and clock synthesis architectures from a signals and systems perspective, current state and future directions.",ISCAS
A circuit that creates a logarithmic response from an integrating CMOS pixel.,ISCAS
1.25/2.5-Gb/s burst-mode clock recovery circuit with a novel dual bit-rate structure in 0.18&micro;m CMOS.,ISCAS
Object shape and reflectance modeling from observation.,SIGGRAPH
Real-time photo-realistic augmented reality for interior design.,SIGGRAPH
Dual sphere-unfolding method for single pass omni-directional shadow mapping.,SIGGRAPH
Early Profile Pruning on XML-aware Publish/Subscribe Systems.,VLDB
WATCH: summary data in spatial context.,SIGGRAPH
Maximizing submodular set function with connectivity constraint: Theory and application to networks.,INFOCOM
"Workshop on online reputation: context, privacy, and reputation management.",WWW
Improving H.264/AVC video coding with adaptive coefficient suppression.,ISCAS
Lateral Error Recovery for Application-Level Multicast.,INFOCOM
Optimal Allocation of Electronic Content.,INFOCOM
Decoders for low-density parity-check convolutional codes with large memory.,ISCAS
CoRaS: A multiprocessor key corruption and random round swapping for power analysis side channel attacks: A DES case study.,ISCAS
A comparison of visual and textual page previews in judging the helpfulness of web pages.,WWW
A continuum approach to dense wireless networks with cooperation.,INFOCOM
Distributed optimal contention window control for elastic traffic in wireless LANs.,INFOCOM
Client-Based Access Control Management for XML documents.,VLDB
Deterministic DEM DAC Performance Analysis.,ISCAS
Automatic skill acquisition in Reinforcement Learning using connection graph stability centrality.,ISCAS
BodyT2: Throughput and time delay performance assurance for heterogeneous BSNs.,INFOCOM
Adaptive Low/High Voltage Swing CMOS Driver for On-Chip Interconnects.,ISCAS
Earth's avatar: the Web augmented virtual earth.,SIGGRAPH
Demand forecast and performance prediction in peer-assisted on-demand streaming systems.,INFOCOM
Query Processing in Tertiary Memory Databases.,VLDB
Mesh-star Hybrid NoC Architecture with CDMA Switch.,ISCAS
An integrated wireless electronic nose system integrating sensing and recognition functions.,ISCAS
Verifiable private multi-party computation: Ranging and ranking.,INFOCOM
Peer-to-Peer Sharing of Web Applications.,WWW
Efficient search in large textual collections with redundancy.,WWW
Modeling Telephone Call Networks with Group Structure from a Complex Network Perspective.,ISCAS
A Low Energy FFT/IFFT Processor for Hearing Aids.,ISCAS
Fluid simulation interaction techniques.,SIGGRAPH
PW-MAC: An energy-efficient predictive-wakeup MAC protocol for wireless sensor networks.,INFOCOM
Creation and rendering of realistic trees.,SIGGRAPH
Augmented participatory design.,SIGGRAPH
DDoS-Resilient Scheduling to Counter Application Layer Attacks Under Imperfect Detection.,INFOCOM
A New Adaptive Subpixel-based Downsampling Scheme using Edge Detection.,ISCAS
Balun LNA with continuously controllable gain and with noise and distortion cancellation.,ISCAS
Linear sparse array synthesis via convex optimization.,ISCAS
EMPOWER: A Network Emulator for Wireless and Wireline Networks.,INFOCOM
An Efficient Cost-Driven Index Selection Tool for Microsoft SQL Server.,VLDB
Cache Coherency in Oracle Parallel Server.,VLDB
QoE-aware resource allocation for integrated surveillance system over 4G mobile networks.,ISCAS
On the Optimality and Interconnection of Valiant Load-Balancing Networks.,INFOCOM
On the Complexity Reduction of Polyphase Linear Phase FIR Filters with Symmetric Coefficient Implementation.,ISCAS
A new taxonomy for reconfigurable prefix adders.,ISCAS
Demand-Oblivious Routing: Distributed vs. Centralized Approaches.,INFOCOM
SocialFilter: Introducing social trust to collaborative spam mitigation.,INFOCOM
Multiversion Query Locking.,VLDB
Knowledge-Based Query Processing.,VLDB
"Restful web services vs. ""big""' web services: making the right architectural decision.",WWW
The Double Life of the Transaction Abstraction: Fundamental Principle and Evolving System Concept.,VLDB
Random-access scheduling with service differentiation in wireless networks.,INFOCOM
A robust boundary detection algorithm based on connectivity only for 3D wireless sensor networks.,INFOCOM
Heuristic Algorithms for Joint Configuration of the Optical and Electrical Layer in Multi-Hop Wavelength Routing Networks.,INFOCOM
A stochastic learning-to-rank algorithm and its application to contextual advertising.,WWW
Handling Data Skew in Multiprocessor Database Computers Using Partition Tuning.,VLDB
Using explicit discourse rules to guide video enrichment.,WWW
The stringed haptic workbench.,SIGGRAPH
Resiliency-Aware Data Management.,VLDB
"Modeling inelastic deformation: viscolelasticity, plasticity, fracture.",SIGGRAPH
Gossiping with Multiple Messages.,INFOCOM
AuditGuard: a system for database auditing under retention restrictions.,VLDB
Simplicial interpolation for animating the Hulk.,SIGGRAPH
"Decentralized, accurate, and low-cost network bandwidth prediction.",INFOCOM
Optimal Configuration of OSPF Aggregates.,INFOCOM
A fast polymesh to level set algorithm.,SIGGRAPH
Search result diversity for informational queries.,WWW
Hopf-Type Intermediate-Scale Bifurcation in Single-Stage Power-Factor-Correction Power Supplies.,ISCAS
A Sub-1V Low-Power High-Speed Static Frequency Divider.,ISCAS
Unified Energy-Efficient Routing for Multi-Hop Wireless Networks.,INFOCOM
Impact of Control Signal Non-Idealties on Two-Phase Charge Pumps.,ISCAS
Fast Packet Classification for Two-Dimensional Conflict-Free Filters.,INFOCOM
File Fragmentation over an Unreliable Channel.,INFOCOM
Ultra-low power current-based PUF.,ISCAS
Model-directed web transactions under constrained modalities.,WWW
An inverse method of characteristics for analyzing circuits with widely separated time-scales.,ISCAS
"A smooth, fast, accurate representation of reflectance.",SIGGRAPH
IPAC - An Interactive Approach to Access Control for Semi-structured Data.,VLDB
Oracle SecureFiles: Prepared for the Digital Deluge.,VLDB
Trichromatic approximation for computer graphics illumination models.,SIGGRAPH
Double-via insertion enhanced X-architecture clock routing for reliability.,ISCAS
Robust Geo-Routing on Embeddings of Dynamic Wireless Networks.,INFOCOM
An Energy-Scalable Margin Propagation-Based Analog VLSI Support Vector Machine.,ISCAS
Reactive architecture.,SIGGRAPH
A 14-b 32MS/s Pipelined ADC with Novel Fast-convergence Comprehensive Background Calibration.,ISCAS
AMBA AHB bus potocol checker with efficient debugging mechanism.,ISCAS
A Model of Visual Adaptation for Realistic Image Synthesis.,SIGGRAPH
On interference alignment for multi-hop MIMO networks.,INFOCOM
An auto-reconfigurable dual-output SC DC-DC regulator with sub-harmonic fixed on-time control for energy-harvesting applications.,ISCAS
A Wide Bandwidth Sige Broadband Amplifier for 100 Gb/s Ethernet Applications.,ISCAS
Interactive control of avatars animated with human motion data.,SIGGRAPH
Analysis of Blocking Probability in Noise and Crosstalk Impaired All-Optical Networks.,INFOCOM
Mixed-signal implementation of a nonlinear decoder for delta-sigma encoded stream.,ISCAS
Addressing the privacy management crisis in online social networks.,WWW
A fault-aware dynamic routing algorithm for on-chip networks.,ISCAS
Numerical simulation of fluid flow on complex geometries using the Lattice-Boltzmann method and CUDA-enabled GPUs.,SIGGRAPH
Passive client-based bandwidth and latency measurements in cellular networks.,INFOCOM
Data Management on the Spatial Web.,VLDB
Cooperating with Smartness: Using Heterogeneous Smart Antennas in Ad-Hoc Networks.,INFOCOM
Avatara: OLAP for Web-scale Analytics Products.,VLDB
Maintaining source privacy under eavesdropping and node compromise attacks.,INFOCOM
An enhanced model for searching in semantic portals.,WWW
Streaming codes for channels with burst and isolated erasures.,INFOCOM
An Architecture For Integrating Low Complexity and Reconfigurability for Channel filters in Software Defined Radio Receivers.,ISCAS
Power efficiency calculation of class E amplifier with nonlinear shunt capacitance.,ISCAS
Foreword from the PC Chairs.,VLDB
Constructing Efficient Decision Trees by Using Optimized Numeric Association Rules.,VLDB
Volume and power optimized high-performance system for UAV collision avoidance.,ISCAS
Robust super-exponential methods for blind deconvolution of MIMO-IIR systems with Gaussian noise.,ISCAS
An area efficient digital amplitude modulator in 90nm CMOS.,ISCAS
Shape Segmentation and Applications in Sensor Networks.,INFOCOM
An adaptation method for FIR pre-emphasis filter on backplane channel.,ISCAS
"SEDA: a system for search, exploration, discovery, and analysis of XML Data.",VLDB
Volume-aware extinction mapping.,SIGGRAPH
Alternate hop-and-wait channel rendezvous method for cognitive radio networks.,INFOCOM
Research frontiers in virtual reality.,SIGGRAPH
Employing Natural Language Summarization and Automated Layout for Effective Presentation and Navigation of Information Retrieval Results.,WWW
Differentiated traffic engineering for QoS provisioning.,INFOCOM
Tunable QoS-aware network survivability.,INFOCOM
Generalization of Lambert's reflectance model.,SIGGRAPH
A isolated bidirectional interleaved flyback converter for battery backup system application.,ISCAS
Proactive failure detection for WDM carrying IP.,INFOCOM
Randomized coherent sampling for reducing perceptual rendering error.,SIGGRAPH
A 1.2V 130&micro;A 10-bit MOS-Only Log-Domain Sigma Delta Modulator.,ISCAS
Contextual trace-based video recommendations.,WWW
Large-scale Data Collection: a Coordinated Approach.,INFOCOM
Automating the design of multi-dimensional clustering tables in relational databases.,VLDB
Comparison of On-die Global Clock Distribution Methods for Parallel Serial Links.,ISCAS
Topological and MAI Constraints on the Performance of Wireless CDMA Sensor Networks.,INFOCOM
Motion Mapping for MPEG-2 to H.264/AVC Transcoding.,ISCAS
A Novel Fast Algorithm for Speech and Audio Coding.,ISCAS
Interactive lecturing techniques.,ISCAS
Screen: bodily interaction with text in immersive VR.,SIGGRAPH
Personalized recommendation on dynamic content using predictive bilinear models.,WWW
Algorithms for Mining Distance-Based Outliers in Large Datasets.,VLDB
Load Balancing in Wireless Sensor Networks using Kirchhoff's Voltage Law.,INFOCOM
Voltage Elevator using a MEMS Resonator.,ISCAS
An efficient regular expressions compression algorithm from a new perspective.,INFOCOM
A Low-noise Monolithic CMOS Bio-potential Detector.,ISCAS
Asymmetrical query recommendation method based on bipartite network resource allocation.,WWW
On the nature of revenue-sharing contracts to incentivize spectrum-sharing.,INFOCOM
A CMOS Image Sensor using Variable Reference Time Domain Encoding.,ISCAS
The strength of vicinity annexation in opportunistic networking.,INFOCOM
Attributing authorship of revisioned content.,WWW
An Automated System for Web Portal Personalization.,VLDB
Elements of Style: Learning Perceptual Shape Style Similarity,SIGGRAPH
High-speed Fluorescence Imaging System for Freely Moving Animals.,ISCAS
A Volumetric Method for Building Complex Models from Range Images.,SIGGRAPH
A fine-resolution Time-to-Digital Converter for a 5GS/S ADC.,ISCAS
Error spectrum shaping approach for lattice filter roundoff noise reduction.,ISCAS
Quaternionic formulation of the first regularity for four-band paraunitary filter banks.,ISCAS
Choosing an Efficient Internal Schema.,VLDB
Communication as information-seeking: the case for mobile social software for developing regions.,WWW
Planar microcoils array applied to magnetic beads based lab-on-chip for high throughput applications.,ISCAS
Delayed-dictionary compression for packet networks.,INFOCOM
A UWB mixer with a balanced wide band active balun using crossing centertaped inductor.,ISCAS
General capacity scaling of wireless networks.,INFOCOM
An efficient buffer management policy based on an integrated Fuzzy-GA approach.,INFOCOM
Optimal Allocation of Resources in Distributed Information Networks.,VLDB
Wavelet-based spatially adaptive method for despeckling SAR images.,ISCAS
Set-valued Derivative and Lyapunov Method for Full-range Cellular Neural Networks.,ISCAS
Another look at the retina as an image scalar quantizer.,ISCAS
"Inside the New Coolstreaming: Principles, Measurements and Performance Implications.",INFOCOM
Information integration over time in unreliable and uncertain environments.,WWW
Using Google distance to weight approximate ontology matches.,WWW
Indexing in a Hypertext Database.,VLDB
Equivalent rise time for resonance in power/ground noise estimation.,ISCAS
EMI reduction by resonant clock distribution networks.,ISCAS
Extracting context to improve accuracy for HTML content extraction.,WWW
A set of questions for a concept inventory for a DC Circuits course.,ISCAS
A revenue sharing mechanism for federated search and advertising.,WWW
Tuning Database Configuration Parameters with iTuned.,VLDB
Padding for orthogonality: Efficient subspace authentication for network coding.,INFOCOM
Continuous reference images for FTIR touch sensing.,SIGGRAPH
On Replica Placement for QoS-Aware Content Distribution.,INFOCOM
Experiences in Federated Databases: From IRO-DB to MIRO-Web.,VLDB
A Demonstration of DBWipes: Clean as You Query.,VLDB
Precise area-controlled return-to-zero current steering DAC with reduced sensitivity to clock jitter.,ISCAS
Network emulation testbed for DTN applications and protocols.,INFOCOM
Similarity measure and instance selection for collaborative filtering.,WWW
SpeedGate: A smart data pricing testbed based on speed tiers.,INFOCOM
An all-digital PLL with a first order noise shaping Time-to-Digital Converter.,ISCAS
An adaptive neuron circuit for signal compression.,ISCAS
Gossip-based ad hoc routing.,INFOCOM
Multiresolution painting and compositing.,SIGGRAPH
Low-Voltage CMOS Single Ended and Fully Differential Amplifier with Programmable Gain.,ISCAS
"Annotating and Searching Web Tables Using Entities, Types and Relationships.",VLDB
Approximation Algorithms for Grooming in Optical Network Design.,INFOCOM
Digital camera identification using Colour-Decoupled photo response non-uniformity noise pattern.,ISCAS
Learning to Remove Soft Shadows,SIGGRAPH
Second international workshop on RESTful design (WS-REST 2011).,WWW
Spectrum clouds: A session based spectrum trading system for multi-hop cognitive radio networks.,INFOCOM
Automatic identification of user goals in Web search.,WWW
Exchanging pairwise secrets efficiently.,INFOCOM
When is a List is a List?: Web Page Re-authoring for Small Display Devices.,WWW
Stylization and abstraction of photographs.,SIGGRAPH
High-PF and ultra-low-THD power factor correction controller by sinusoidal-wave synthesis and optimized THD control.,ISCAS
Efficient passive transmission line macromodeling algorithm using method of characteristics.,ISCAS
Personal Voice Call Assistant: VoiceXML and SIP in a Distributed Environment.,WWW
A single inductor multiple output converter with adaptive delta current mode control.,ISCAS
Application of Novel Technologies to the Management of a Very Large Date Base.,VLDB
Almost optimal virtual machine placement for traffic intense data centers.,INFOCOM
Data Dependent Optimization of ROM Structures.,ISCAS
Self-similarity in the Web.,VLDB
A chip-to-chip clock-deskewing circuit for 3-D ICs.,ISCAS
Lightweight Graphical Models for Selectivity Estimation Without Independence Assumptions.,VLDB
QUIET: Continuous Query-driven Index Tuning.,VLDB
Code division parallel delta-sigma A/D converter with probabilistic iterative decoding.,ISCAS
Measurement of cell and bacterial activity using array-based ISFET Chemical Current-Conveyor in weak-inversion.,ISCAS
A scalable offset-cancelled current/voltage sense amplifier.,ISCAS
A review of magnetic cellular automata systems.,ISCAS
A hierarchical monothetic document clustering algorithm for summarization and browsing search results.,WWW
Towards Economically Viable Infrastructure-Based Overlay Multicast Networks.,INFOCOM
iBind: smooth indirect binding using segmented thin-layers.,SIGGRAPH
Scheduling Algorithms for a Cache Pre-Filling Content Distribution Network.,INFOCOM
A novel digitally controlled low noise ring oscillator.,ISCAS
Temporally coherent video matting.,SIGGRAPH
An efficient algorithm for finding the CSG representation of a simple polygon.,SIGGRAPH
Modular Reduction without Precomputational Phase.,ISCAS
The effect of D/A accuracy on the performance of digital predistortion for RF power amplifiers.,ISCAS
Shaboned display: an interactive substantial display using soap bubbles.,SIGGRAPH
Mobile topigraphy: large-scale tag cloud visualization for mobiles.,WWW
An Injection of Tree Awareness: Adding Staircase Join to PostgreSQL.,VLDB
munica: an advancing age's social networking device with greeting cards.,SIGGRAPH
Concise and Expressive Mappings with +Spicy.,VLDB
On quantifying the figures of merit of power-gating for leakage power minimization in nanometer CMOS circuits.,ISCAS
A Framework for Supporting DBMS-like Indexes in the Cloud.,VLDB
Exposing private information by timing web applications.,WWW
Analog Implementation of SNR based Gain Adaptation for Denoising.,ISCAS
Integration of a wireless sensor network project for introductory circuits and systems teaching.,ISCAS
Integration time optimization for integrating photosensors.,ISCAS
Improving Adaptable Similarity Query Processing by Using Approximations.,VLDB
A new current-mode incremental signaling scheme with applications to Gb/s parallel links.,ISCAS
Adaptive and Big Data Scale Parallel Execution in Oracle .,VLDB
Secure crowdsourcing-based cooperative pectrum sensing.,INFOCOM
Designing A Generalized NF2 Model with an SQL-Type Language Interface.,VLDB
Analytical and experimental study of tuning range limitation in mm-wave CMOS LC-VCOs.,ISCAS
Database De-Centralization - A Practical Approach.,VLDB
"High Speed, Minimal Area, and Low Power SEC Code for DRAMs with Large I/O Data Widths.",ISCAS
On Bubble Memories and Relational Data Base.,VLDB
Fast replication in content distribution overlays.,INFOCOM
Finding Regular Simple Paths in Graph Databases.,VLDB
Analysis and understanding of paintings by Ito Jakuchu.,SIGGRAPH
GPS comics: <i>seeing thru walls</i>.,SIGGRAPH
Power analysis attack of QCA circuits: A case study of the Serpent cipher.,ISCAS
Analysis and design of lumped-element quadrature couplers with lossy passive elements.,ISCAS
State space modeling for sub-threshold SRAM stability analysis.,ISCAS
Fast algorithms for power grid analysis based on effective resistance.,ISCAS
Ambiguity in Processing Boolean Queries on TDMS Tree Structures: A Study of Four Different Philosophies.,VLDB
Modeling Synaptic Plasticity within Networks of Highly Accelerated I&amp;F Neurons.,ISCAS
A new deflection shape function for square membrane CMUT design.,ISCAS
Considerations for Sizing Buffers in Optical Packet Switched Networks.,INFOCOM
"Distributed, secure load balancing with skew, heterogeneity and churn.",INFOCOM
A low-distortion and wide dynamic range CMOS imager for wireless capsule endoscopy.,ISCAS
Optimal rate allocation for scalable video multicast over WiMAX.,ISCAS
A Modularization Mechanism for Conceptual Modeling.,VLDB
Efficient Hardware Architecture for Fast IP Address Lookup.,INFOCOM
WL-VC SRAM: a low leakage memory circuit for deep sub-micron design.,ISCAS
Efficient and distributed computation of maximum multicast rates.,INFOCOM
Connectivity of large-scale Cognitive Radio Ad Hoc Networks.,INFOCOM
A Testbed for Managing Dynamic Mixed Workloads.,VLDB
Mismatch Compensated Design Techniques under Packaging-Induced Die Stress.,ISCAS
The REMIT System for Paraphrasing Relational Query Expressions into Natural Language.,VLDB
Know your personalization: learning topic level personalization in online services.,WWW
Hardware accelerated shaders using FPGA's.,SIGGRAPH
Shimon + ZOOZbeat: an improvising robot musician you can jam with.,SIGGRAPH
Jitter error spectrum for NRZ D/A converters.,ISCAS
On the Limitations of the Variance-time Test for Inference of Long-range Dependence.,INFOCOM
Shuffling a Stacked Deck: The Case for Partially Randomized Ranking of Search Engine Results.,VLDB
Improving PA efficiency by chaos-based spreading in multicarrier DS-CDMA systems.,ISCAS
Synchronization and phase synthesis using PLL neural networks.,ISCAS
A merged first and second stage for low power pipelined ADC.,ISCAS
Predictive rendering.,SIGGRAPH
Wiki content templating.,WWW
Satellite over Satellite (SOS) Network: A Novel Architecture for Satellite Network.,INFOCOM
Scalable processing of flexible graph pattern queries on the cloud.,WWW
An area-efficient sampling rate converter using negative feedback technique.,ISCAS
Design of grid multi-wing butterfly chaotic attractors from piecewise L&uuml; system based on switching control and heteroclinic orbit.,ISCAS
Behavior based web page evaluation.,WWW
"Biological Data Management: Research, Practice and Opportunities.",VLDB
Distributed Algorithms for Approximating Wireless Network Capacity.,INFOCOM
Low-Rank Mechanism: Optimizing Batch Queries under Differential Privacy.,VLDB
Efficient memory architecture for JPEG2000 entropy codec.,ISCAS
Integrating Networks Measurements and Speech Quality Subjective Scores for Control Purposes.,INFOCOM
Auditing for Accessibility.,WWW
Implementation of a CNN-based perceptual framework on a roving robot.,ISCAS
Adaptive Early Packet Filtering for Defending Firewalls Against DoS Attacks.,INFOCOM
The Transaction Concept: Virtues and Limitations (Invited Paper),VLDB
Usability and Expressiveness in Database Keyword Search: Bridging the Gap.,VLDB
Dynamic Cross-Layer Association in 802.11-Based Mesh Networks.,INFOCOM
Progressive Lightcuts for GPU.,SIGGRAPH
Opinion integration through semi-supervised topic modeling.,WWW
A Demonstration of SciDB: A Science-Oriented DBMS.,VLDB
Time-Stepped Hybrid Simulation (TSHS) for Large Scale Networks.,INFOCOM
NMOS-only Class-D Output Stages based on Charge Pump Architectures.,ISCAS
An interactive 3D toolkit for constructing 3D widgets.,SIGGRAPH
Lumi-breath: flow of energy.,SIGGRAPH
Hash-Based Join Algorithms for Multiprocessor Computers.,VLDB
Where to adapt dynamic service compositions.,WWW
Broadband beamfoming using Nested Planar Arrays and 3D FIR frustum filters.,ISCAS
Locality in Search Engine Queries and Its Implications for Caching.,INFOCOM
Self-Organizing Dynamic Fractional Frequency Reuse for Best-Effort Traffic through Distributed Inter-Cell Coordination.,INFOCOM
Efficient skyline querying with variable user preferences on nominal attributes.,VLDB
Dynamic Power Allocation Under Arbitrary Varying Channels - The Multi-User Case.,INFOCOM
Extended User-Defined Indexing with Application to Textual Databases.,VLDB
Split-ADC Digital Background Correction of Open-Loop Residue Amplifier Nonlinearity Errors in a 14b Pipeline ADC.,ISCAS
ReqFlex: Fuzzy Queries for Everyone.,VLDB
